Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
6985, GJ50-368730, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.337, , , , , , , , , , 
6986, GJ50-368731, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.576, , , , , , , , , , 
6987, GJ50-368732, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.497, , , , , , , , , , 
6988, GJ50-368733, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.486, , , , , , , , , , 
6989, GJ20-368734, J. Non-Crystalline Solids, 2016, v. 432  p. 0031, , , , 2.707, , , , , , , , , , 
6990, GJ20-368735, J. Non-Crystalline Solids, 2016, v. 432  p. 0031, , , , 2.854, , , , , , , , , , 
6991, GJ20-368736, J. Non-Crystalline Solids, 2016, v. 432  p. 0031, , , , 3.001, , , , , , , , , , 
6992, GJ03-368737, J. Non-Crystalline Solids, 2016, v. 432  p. 0035, , , , 2.66, , , , , , , , , , 
6993, GJ03-368738, J. Non-Crystalline Solids, 2016, v. 432  p. 0035, , , , 2.74, , , , , , , , , , 
6994, GJ03-368739, J. Non-Crystalline Solids, 2016, v. 432  p. 0035, , , , 2.64, , , , , , , , , , 
6995, GJ03-368740, J. Non-Crystalline Solids, 2016, v. 432  p. 0035, , , , 2.5, , , , , , , , , , 
6996, GJ03-368741, J. Non-Crystalline Solids, 2016, v. 432  p. 0035, , , , 2.55, , , , , , , , , , 
6997, GJ03-368742, J. Non-Crystalline Solids, 2016, v. 432  p. 0035, , , , 2.48, , , , , , , , , , 
6998, GJ03-368754, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, , , , 2.945, , , , , , , , , , 
6999, GJ03-368755, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, , , , 2.921, , , , , , , , , , 
7000, GJ03-368756, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, , , , 2.897, , , , , , , , , , 
7001, GJ03-368757, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, , , , 2.871, , , , , , , , , , 
7002, GJ03-368758, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, , , , 2.852, , , , , , , , , , 
7003, XJ03-368759, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, 1200C 1h, , , 2.893, , , , , , , , , , 
7004, XJ03-368760, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, 1200C 1h, , , 2.964, , , , , , , , , , 
7005, XJ03-368761, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, 1200C 1h, , , 2.962, , , , , , , , , , 
7006, XJ03-368762, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, 1000C 1h, , , 2.973, , , , , , , , , , 
7007, XJ03-368763, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, 900C 1h, , , 2.93, , , , , , , , , , 
7008, XJ03-368764, J. Non-Crystalline Solids, 2016, v. 432  p. 0081, 1000C 1h, , , 2.936, , , , , , , , , , 
7009, CJ10-368773, J. Non-Crystalline Solids, 2016, v. 432  p. 0150, , , , 2.0, , , , , , , , , , 
7010, CJ10-368774, J. Non-Crystalline Solids, 2016, v. 432  p. 0150, , , , 2.3, , , , , , , , , , 
7011, GJ20-368781, J. Non-Crystalline Solids, 2016, v. 433  p. 0014, annealed at 350C for 1h., , , 3.562, , , , , , , , , , 
7012, GJ20-368782, J. Non-Crystalline Solids, 2016, v. 433  p. 0014, annealed at 350C for 1h., , , 3.56, , , , , , , , , , 
7013, GJ20-368783, J. Non-Crystalline Solids, 2016, v. 433  p. 0014, annealed at 350C for 1h., , , 3.554, , , , , , , , , , 
7014, GJ20-368784, J. Non-Crystalline Solids, 2016, v. 433  p. 0014, annealed at 350C for 1h., , , 3.547, , , , , , , , , , 
7015, GJ20-368785, J. Non-Crystalline Solids, 2016, v. 433  p. 0014, annealed at 350C for 1h., , , 8.535, , , , , , , , , , 
7016, XJ03-368798, J. Non-Crystalline Solids, 2016, v. 433  p. 0051, annealed at 640C for 2h.  1050C 5h, , , , , , , , 5970.0, , , , , 5970.0
7017, XJ03-368799, J. Non-Crystalline Solids, 2016, v. 433  p. 0051, annealed at 640C for 2h.  1050C 5h, , , , , , , , 5520.0, , , , , 5520.0
7018, XJ03-368800, J. Non-Crystalline Solids, 2016, v. 433  p. 0051, annealed at 640C for 2h.  1050C 5h, , , , , , , , 5030.0, , , , , 5030.0
7019, GJ28-368801, J. Non-Crystalline Solids, 2016, v. 433  p. 0060, annealed at 200C for 10h., , , 4.55, , , , , , , , , , 
7020, GJ28-368802, J. Non-Crystalline Solids, 2016, v. 433  p. 0060, annealed at 200C for 10h., , , 4.62, , , , , , , , , , 
7021, GJ28-368803, J. Non-Crystalline Solids, 2016, v. 433  p. 0060, annealed at 200C for 10h., , , 4.68, , , , , , , , , , 
7022, GJ28-368804, J. Non-Crystalline Solids, 2016, v. 433  p. 0060, annealed at 200C for 10h., , , 4.75, , , , , , , , , , 
7023, GJ28-368805, J. Non-Crystalline Solids, 2016, v. 433  p. 0060, annealed at 200C for 10h., , , 4.83, , , , , , , , , , 
7024, GJ28-368806, J. Non-Crystalline Solids, 2016, v. 433  p. 0060, annealed at 200C for 10h., , , 4.96, , , , , , , , , , 
7025, GJ28-368807, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 4.65, , , , , 4900.0, 4900.0, , , , 
7026, GJ28-368808, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 4.82, , , , , 4850.0, 4850.0, , , , 
7027, GJ28-368809, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 4.9, , , , , 4650.0, 4650.0, , , , 
7028, GJ28-368810, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.0, , , , , 4500.0, 4500.0, , , , 
7029, GJ28-368811, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.07, , , , , 4400.0, 4400.0, , , , 
7030, GJ28-368812, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 4.85, , , , , 5650.0, 5650.0, , , , 
7031, GJ28-368813, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 4.97, , , , , 5700.0, 5700.0, , , , 
7032, GJ28-368814, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.05, , , , , 5500.0, 5500.0, , , , 
7033, GJ28-368815, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.12, , , , , 5300.0, 5300.0, , , , 
7034, GJ28-368816, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.21, , , , , 5220.0, 5220.0, , , , 
7035, GJ28-368817, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 4.91, , , , , 5200.0, 5200.0, , , , 
7036, GJ28-368818, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 4.95, , , , , 4900.0, 4900.0, , , , 
7037, GJ28-368819, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.05, , , , , 4750.0, 4750.0, , , , 
7038, GJ28-368820, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.13, , , , , 4500.0, 4500.0, , , , 
7039, GJ28-368821, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.21, , , , , 4250.0, 4250.0, , , , 
7040, GJ28-368822, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.03, , , , , 5500.0, 5500.0, , , , 
7041, GJ28-368823, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.18, , , , , 5450.0, 5450.0, , , , 
7042, GJ28-368824, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.27, , , , , 5100.0, 5100.0, , , , 
7043, GJ28-368825, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.3, , , , , 5200.0, 5200.0, , , , 
7044, GJ28-368826, J. Non-Crystalline Solids, 2016, v. 433  p. 0068, annealed at 523K for 2h., , , 5.4, , , , , 4500.0, 4500.0, , , , 
7045, GJ20-368828, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 300C., , , 4.04, , , , , , , , , , 
7046, GJ20-368829, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 300C., , , 4.34, , , , , , , , , , 
7047, GJ20-368830, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 300C., , , 4.65, , , , , , , , , , 
7048, GJ20-368831, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 300C., , , 5.02, , , , , , , , , , 
7049, GJ20-368832, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 300C, , , 5.42, , , , , , , , , , 
7050, GJ20-368833, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 500C, , , 3.26, , , , , , , , , , 
7051, GJ20-368834, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 500C, , , 3.35, , , , , , , , , , 
7052, GJ20-368835, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 500C, , , 3.48, , , , , , , , , , 
7053, GJ20-368836, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 500C, , , 3.65, , , , , , , , , , 
7054, GJ20-368837, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 500C, , , 3.84, , , , , , , , , , 
7055, GJ20-368838, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 400C., , , 3.8, , , , , , , , , , 
7056, GJ20-368839, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 400C., , , 4.0, , , , , , , , , , 
7057, GJ20-368840, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 400C., , , 4.19, , , , , , , , , , 
7058, GJ20-368841, J. Non-Crystalline Solids, 2016, v. 433  p. 0082, annealed at 400C., , , 4.39, , , , , , , , , , 
7059, GJ20-368842, J. Non-Crystalline Solids, 2016, v. 433  p. 0087, annealed at 250C for 2h., , , 4.43, , , , , , , , , , 
7060, GJ20-368843, J. Non-Crystalline Solids, 2016, v. 433  p. 0087, annealed at 250C for 2h., , , 4.44, , , , , , , , , , 
7061, GJ20-368844, J. Non-Crystalline Solids, 2016, v. 433  p. 0087, annealed at 250C for 2h., , , 4.46, , , , , , , , , , 
7062, GJ20-368845, J. Non-Crystalline Solids, 2016, v. 433  p. 0087, annealed at 250C for 2h., , , 4.43, , , , , , , , , , 
7063, GJ20-368846, J. Non-Crystalline Solids, 2016, v. 433  p. 0087, annealed at 250C for 2h., , , 4.4, , , , , , , , , , 
7064, GJ20-368847, J. Non-Crystalline Solids, 2016, v. 433  p. 0087, annealed at 250C for 2h., , , 4.41, , , , , , , , , , 
7065, GJ03-368860, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.46, , , 83.1, 1.38, 6300.0, , , , , 6300.0
7066, GJ03-368861, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.501, , , 85.0, 1.4, 6340.0, , , , , 6340.0
7067, GJ03-368862, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.539, , , 86.8, 1.34, 6440.0, , , , , 6440.0
7068, GJ03-368863, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.571, , , 88.5, 1.36, 6510.0, , , , , 6510.0
7069, GJ03-368864, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.604, , , 90.2, 1.3, 6600.0, , , , , 6600.0
7070, GJ03-368865, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.631, , , 91.9, 1.32, 6590.0, , , , , 6590.0
7071, GJ03-368866, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.653, , , 93.2, 1.26, 6700.0, , , , , 6700.0
7072, GJ03-368867, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.68, , , 94.9, 1.27, 6740.0, , , , , 6740.0
7073, GJ03-368868, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.699, , , 98.2, 1.22, 6800.0, , , , , 6800.0
7074, GJ03-368869, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.717, , , 97.5, 1.28, 6940.0, , , , , 6940.0
7075, GJ03-368870, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.734, , , 98.9, 1.3, 6900.0, , , , , 6900.0
7076, GJ03-368871, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.748, , , 100.1, 1.24, 7000.0, , , , , 7000.0
7077, GJ03-368872, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.762, , , 101.3, 1.26, 7030.0, , , , , 7030.0
7078, GJ03-368873, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.773, , , 102.4, 1.21, 7110.0, , , , , 7110.0
7079, GJ03-368874, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.783, , , 103.4, 1.22, 7200.0, , , , , 7200.0
7080, GJ03-368875, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.602, , , 83.4, 1.18, 6400.0, , , , , 6400.0
7081, GJ03-368876, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.58, , , 83.6, 1.32, 6440.0, , , , , 6440.0
7082, GJ03-368877, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.567, , , 84.3, 1.25, 6390.0, , , , , 6390.0
7083, GJ03-368878, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.556, , , 84.8, 1.41, 6500.0, , , , , 6500.0
7084, GJ03-368879, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.545, , , 85.6, 1.33, 6500.0, , , , , 6500.0
7085, GJ03-368880, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.538, , , 87.2, 1.52, 6600.0, , , , , 6600.0
7086, GJ06-368881, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.536, , , 90.9, 1.55, 6780.0, , , , , 6780.0
7087, GJ03-368882, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.86, , , 98.9, 1.08, 6900.0, , , , , 6900.0
7088, GJ03-368883, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.838, , , 99.6, 1.09, 7000.0, , , , , 7000.0
7089, GJ03-368884, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.793, , , 101.9, 1.15, 6990.0, , , , , 6990.0
7090, GJ03-368885, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, , , , 2.782, , , 102.7, 1.29, 7300.0, , , , , 7300.0
7091, XJ03-368892, J. Non-Crystalline Solids, 2016, v. 434  p. 0013, 1200C 2h, , , 2.84, , , 149.0, 2.3, , , , , , 
7092, XJ03-368893, J. Non-Crystalline Solids, 2016, v. 434  p. 0013, 1200C 2h, , , 2.77, , , 142.0, , , , , , , 
7093, GJ10-368900, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h., , , 3.748, , , , , , , , , , 
7094, GJ10-368901, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h., , , 3.472, , , , , , , , , , 
7095, GJ10-368902, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h., , , 3.324, , , , , , , , , , 
7096, GJ10-368903, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h., , , 3.101, , , , , , , , , , 
7097, GJ10-368904, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h., , , 2.917, , , , , , , , , , 
7098, XJ10-368905, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h.  560C 3h, , , 3.95, , , , , , , , , , 
7099, XJ10-368906, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h.  560C 3h, , , 3.9, , , , , , , , , , 
7100, XJ10-368907, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h.  560C 3h, , , 3.7, , , , , , , , , , 
7101, XJ10-368908, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h.  560C 3h, , , 3.53, , , , , , , , , , 
7102, XJ10-368909, J. Non-Crystalline Solids, 2016, v. 434  p. 0041, annealed at 250C for 5h.  560C 3h, , , 3.31, , , , , , , , , , 
7103, GJ06-368910, J. Non-Crystalline Solids, 2016, v. 434  p. 0053, , , , , , , 75.0, , , , , , , 
7104, GJ06-368911, J. Non-Crystalline Solids, 2016, v. 434  p. 0053, , , , , , , 76.0, , , , , , , 
7105, GJ06-368912, J. Non-Crystalline Solids, 2016, v. 434  p. 0053, , , , , , , 73.0, , , , , , , 
7106, GJ06-368913, J. Non-Crystalline Solids, 2016, v. 434  p. 0053, , , , , , , 58.0, , , , , , , 
7107, XJ20-368914, J. Non-Crystalline Solids, 2016, v. 434  p. 0062, 700C 36h, , , 4.02, , , , , , , , , , 
7108, XJ20-368915, J. Non-Crystalline Solids, 2016, v. 434  p. 0062, 700C 36h, , , 3.87, , , , , , , , , , 
7109, XJ20-368916, J. Non-Crystalline Solids, 2016, v. 434  p. 0062, 700C 36h, , , 3.774, , , , , , , , , , 
7110, XJ20-368917, J. Non-Crystalline Solids, 2016, v. 434  p. 0062, 700C 36h, , , 3.68, , , , , , , , , , 
7111, XJ20-368918, J. Non-Crystalline Solids, 2016, v. 434  p. 0062, 700C 36h, , , 3.573, , , , , , , , , , 
7112, GJ20-368920, J. Non-Crystalline Solids, 2016, v. 434  p. 0079, , , , 2.631, , , , , , , , , , 
7113, GJ20-368921, J. Non-Crystalline Solids, 2016, v. 434  p. 0079, , , , 2.632, , , , , , , , , , 
7114, GJ20-368922, J. Non-Crystalline Solids, 2016, v. 434  p. 0079, , , , 2.689, , , , , , , , , , 
7115, GJ20-368923, J. Non-Crystalline Solids, 2016, v. 434  p. 0079, , , , 2.794, , , , , , , , , , 
7116, GJ20-368924, J. Non-Crystalline Solids, 2016, v. 434  p. 0079, , , , 3.075, , , , , , , , , , 
7117, CJ98-368925, J. Non-Crystalline Solids, 2016, v. 434  p. 0079, , , , 3.286, , , , , , , , , , 
7118, NJ99-368931, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 2.909, , , , , , , , , , 
7119, GJ20-368932, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 2.868, , , , , , , , , , 
7120, GJ20-368933, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 2.947, , , , , , , , , , 
7121, GJ20-368934, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 2.919, , , , , , , , , , 
7122, GJ20-368935, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 2.955, , , , , , , , , , 
7123, GJ20-368936, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 2.962, , , , , , , , , , 
7124, GJ20-368937, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 3.009, , , , , , , , , , 
7125, GJ20-368938, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 3.007, , , , , , , , , , 
7126, GJ20-368939, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 3.074, , , , , , , , , , 
7127, GJ20-368940, J. Non-Crystalline Solids, 2016, v. 434  p. 0108, annealed near Tg for 1h., , , 3.211, , , , , , , , , , 
7128, GJ09-368941, J. Non-Crystalline Solids, 2016, v. 434  p. 0115, 80C 14MPa 10h + 110C 4h, 0.14, , , , , , , , , , , , 
7129, GJ03-368942, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, annealed between 675 and 735C for >16h., , , 2.88, , , 96.7, 0.97, 6700.0, , , , , 6700.0
7130, GJ03-368943, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, annealed between 675 and 735C for >16h., , , 2.87, , , 101.3, 0.71, 7300.0, , , , , 7300.0
7131, GJ03-368944, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, annealed between 675 and 735C for >16h., , , 2.85, , , 101.0, 0.83, 7700.0, , , , , 7700.0
7132, GJ03-368945, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, annealed between 675 and 735C for >16h., , , 2.83, , , 99.9, 0.73, 7750.0, , , , , 7750.0
7133, GJ03-368946, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, annealed between 675 and 735C for >16h., , , 2.8, , , 98.5, 0.92, 7800.0, , , , , 7800.0
7134, GJ03-368947, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, annealed between 675 and 735C for >16h., , , 2.75, , , 98.5, 0.96, 7250.0, , , , , 7250.0
7135, GJ03-368948, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, annealed between 675 and 735C for >16h., , , 2.7, , , 96.5, 0.83, 7700.0, , , , , 7700.0
7136, GJ10-368956, J. Non-Crystalline Solids, 2017, v. 460  p. 0054, annealed at Tg., , , 2.257, , , , , 3900.0, , 3900.0, , , 
7137, GJ10-368957, J. Non-Crystalline Solids, 2017, v. 460  p. 0054, annealed at Tg., , , 2.244, , , , , 3650.0, , 3650.0, , , 
7138, GJ10-368958, J. Non-Crystalline Solids, 2017, v. 460  p. 0054, annealed at Tg., , , 2.242, , , , , 3450.0, , 3450.0, , , 
7139, GJ10-368959, J. Non-Crystalline Solids, 2017, v. 460  p. 0054, annealed at Tg., , , 2.24, , , , , 3350.0, , 3350.0, , , 
7140, GJ10-368960, J. Non-Crystalline Solids, 2017, v. 460  p. 0054, annealed at Tg., , , 2.253, , , , , 3280.0, , 3280.0, , , 
7141, GJ10-368961, J. Non-Crystalline Solids, 2017, v. 460  p. 0054, annealed at Tg., , , 2.273, , , , , 3300.0, , 3300.0, , , 
7142, GJ10-368962, J. Non-Crystalline Solids, 2017, v. 460  p. 0054, annealed at Tg., , , 2.29, , , , , 3500.0, , 3500.0, , , 
7143, GJ20-368972, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.106, , , 53.9, , 4440.0, , , , , 4440.0
7144, GJ20-368973, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.103, , , , , , , , , , 
7145, GJ20-368974, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.117, , , , , , , , , , 
7146, GJ20-368975, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.122, , , , , , , , , , 
7147, GJ20-368976, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.129, , , , , , , , , , 
7148, GJ20-368977, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.097, , , 55.8, , 4650.0, , , , , 4650.0
7149, GJ20-368978, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.108, , , 58.8, , 4930.0, , , , , 4930.0
7150, GJ20-368979, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.08, , , 60.8, , 5120.0, , , , , 5120.0
7151, GJ20-368980, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 3.038, , , 60.2, , 4980.0, , , , , 4980.0
7152, GJ20-368981, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, annealed at 590C for 30min., , , 2.992, , , 58.0, , 4640.0, , , , , 4640.0
7153, GJ20-368982, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, , , , , , , 58.7, , 4890.0, , , , , 4890.0
7154, GJ20-368983, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, , , , , , , 59.8, , 4980.0, , , , , 4980.0
7155, GJ20-368984, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, , , , , , , 59.7, , 5060.0, , , , , 5060.0
7156, GJ20-368985, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, , , , , , , 58.6, , 4850.0, , , , , 4850.0
7157, GJ20-368986, J. Non-Crystalline Solids, 2017, v. 460  p. 0136, , , , , , , 56.7, , 4760.0, , , , , 4760.0
7158, GJ20-368992, J. Non-Crystalline Solids, 2017, v. 460  p. 0161, annealed at 400C for 5h., , , 3.08, , , , , , , , , , 
